Codigo Carrera;Plan;Cuatrimestre;Nucleo;Area;Codigo;Creditos;Nombre;;;;
P;2015;;C;Procesos Informáticos;1057;8;Derechos de Autor y Derecho de Copia en la Era Digital;;;;
P;2015;6;A;Desarrollo de Software;1046;12;Desarrollo de Aplicaciones;;;;
P;2015;5;A;Procesos Informáticos;1042;12;Elementos de Ingeniería de Software;;;;
P;2015;1;I;Introducción;80005;10;Elementos de Programación y Lógica;;;;
P;2015;5;A;Desarrollo de Software;1044;12;Estrategias de Persistencia;;;;
P;2015;3;B;Programación;1036;16;Estructuras de Datos;;;;
P;2015;;C;Procesos Informáticos;1304;8;Gestión de Proyectos de desarrollo de Software;;;;
P;2015;;C;Desarrollo de Software;1055;8;Herramientas Declarativas en Programación;;;;
P;2015;;C;Procesos Informáticos;1308;8;Ingeniería de Requerimientos;;;;
P;2015;;;Inglés;90000;6;Inglés I;;;;
P;2015;;;Inglés;90028;6;Inglés II;;;;
P;2015;;C;Sistemas Informáticos;1052;8;Introducción a la Bioinformática;;;;
P;2015;;C;Sistemas Informáticos;1058;8;Introducción a la Electrónica y Programación de Controladores con Arduino;;;;
P;2015;2;B;Programación;487;18;Introducción a la Programación;;;;
P;2015;;C;Desarrollo de Software;1050;8;Introducción a las Arquitecturas de Software;;;;
P;2015;;C;Desarrollo de Software;1056;8;Introducción al Desarrollo de Videojuegos;;;;
P;2015;6;A;Sistemas Informáticos;1047;8;Laboratorio de Sistemas Operativos y Redes;;;;
P;2015;1;I;Introducción;80000;10;Lectura y Escritura Académica;;;;
P;2015;;C;Teoría de la Computación;1306;8;Lenguajes Formales y Autómatas;;;;
P;2015;;C;Teoría de la Computación;1302;8;Lógica y Programación;;;;
P;2015;1;I;Introducción;80003;10;Matemática;;;;
P;2015;2;B;Matemática;1033;16;Matemática I;;;;
P;2015;4;A;Matemática;1041;8;Matemática II;;;;
P;2015;2;B;Sistemas Informáticos;1032;12;Organización de Computadoras;;;;
P;2015;;C;Procesos Informáticos;1049;8;Participación y Gestión en Proyectos de Software Libre;;;;
P;2015;;C;Procesos Informáticos;1053;8;Políticas Públicas en la Sociedad de la Información y la Era Digital;;;;
P;2015;;C;Desarrollo de Software;1305;8;Práctica del Desarrollo de Software;;;;
P;2015;;C;Programación;1644;8;Programación a Bajo Nivel;;;;
P;2015;3;B;Programación;1034;16;Programación con Objetos I;;;;
P;2015;4;B;Programación;1037;12;Programación con Objetos II;;;;
P;2015;;C;Desarrollo de Software;1051;8;Programación con objetos III;;;;
P;2015;5;A;Programación;1040;8;Programación Concurrente;;;;
P;2015;6;A;Programación;1045;8;Programación Funcional;;;;
P;2015;4;A;Sistemas Informáticos;1038;12;Redes de Computadoras;;;;
P;2015;;C;Procesos Informáticos;646;8;Seguridad Informática;;;;
P;2015;;C;Programación;1059;4;Seminarios sobre Herramientas o Técnicas Puntuales;;;;
P;2015;;C;Sistemas Informáticos;1054;8;Sistemas de Información Geográfica;;;;
P;2015;;C;Sistemas Informáticos;1311;8;Sistemas Distribuidos;;;;
P;2015;4;A;Sistemas Informáticos;1039;12;Sistemas Operativos;;;;
P;2015;;C;Programación;1643;8;Taller de Desarrollos de Servicios Web / Cloud Modernos;;;;
P;2015;;C;Taller;751;4;Taller de trabajo intelectual;;;;
P;2015;;C;Taller;752;4;Taller de trabajo universitario;;;;
P;2015;;C;Sistemas Informáticos;1632;10;Tecnología de Streaming sobre Internet;;;;
P;2015;;C;Programación;1328;8;Televisión Digital;;;;
P;2015;;C;"
";1060;10;Trabajo de insercion profesional;;;;
